,Data,value,capodanno,epifania,pasqua,ferragosto,natale,ultimodellanno,sabato,domenica,vigilia,santostefano,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
157,2010-06-07,120.199443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
158,2010-06-08,116.059764,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
159,2010-06-09,124.556018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160,2010-06-10,131.173769,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
161,2010-06-11,145.006956,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162,2010-06-12,155.65985700000004,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
163,2010-06-13,96.318192,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
164,2010-06-14,136.495426,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
165,2010-06-15,135.744813,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166,2010-06-16,129.70750900000002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
167,2010-06-17,132.96688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168,2010-06-18,142.654474,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,2010-06-19,110.30218899999998,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
170,2010-06-20,79.290934,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
171,2010-06-21,111.842259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,2010-06-22,135.320788,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,2010-06-23,129.764198,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
174,2010-06-24,121.476485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175,2010-06-25,134.528621,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
