Data;value
2010-12-10;123.987383
2010-12-11;124.644759
2010-12-12;114.049997
2010-12-13;145.0891
2010-12-14;147.462945
2010-12-15;151.013151
2010-12-16;141.346808
2010-12-17;141.353459
2010-12-18;130.704383
2010-12-19;117.189632
2010-12-20;129.412246
2010-12-21;133.366774
2010-12-22;124.396786
2010-12-23;111.859989
2010-12-24;121.952715
2010-12-25;99.394193
2010-12-26;133.368991
2010-12-27;117.740141
2010-12-28;116.86496
2010-12-29;112.35411
2010-12-30;111.562255
2010-12-31;94.812795
2011-01-01;130.248131
2011-01-02;134.310244
2011-01-03;129.471787
2011-01-04;136.400463
2011-01-05;128.340472
2011-01-06;104.578098
2011-01-07;130.282928
2011-01-08;129.464093
2011-01-09;134.451656
2011-01-10;140.02002
2011-01-11;136.621218
2011-01-12;136.927363
2011-01-13;135.792581
2011-01-14;143.559364
2011-01-15;129.133639
2011-01-16;89.960581
2011-01-17;132.933352
2011-01-18;142.56222
2011-01-19;139.401135
2011-01-20;137.715549
2011-01-21;141.448299
2011-01-22;125.321274
2011-01-23;105.682086
2011-01-24;144.207868
2011-01-25;141.546458
2011-01-26;139.921783
2011-01-27;137.591611
2011-01-28;135.50552
2011-01-29;129.294882
2011-01-30;133.396685
2011-01-31;144.986398
2011-02-01;132.976822
2011-02-02;130.839768
2011-02-03;130.262403
2011-02-04;133.261879
2011-02-05;122.630198
2011-02-06;115.835604
2011-02-07;141.410819
2011-02-08;139.766585
2011-02-09;141.357446
2011-02-10;136.621951
2011-02-11;141.828811
2011-02-12;125.436297
2011-02-13;134.926687
2011-02-14;136.584054
2011-02-15;144.162265
2011-02-16;138.66086
2011-02-17;140.196831
2011-02-18;163.193876
2011-02-19;121.697771
2011-02-20;121.226452
2011-02-21;166.765658
2011-02-22;160.127494
2011-02-23;147.27178
2011-02-24;172.984725
2011-02-25;159.117237
2011-02-26;142.518131
2011-02-27;117.523624
2011-02-28;151.461836
2011-03-01;154.124492
2011-03-02;152.952223
2011-03-03;146.917622
2011-03-04;146.431728
2011-03-05;128.496202
2011-03-06;116.93265
2011-03-07;150.480885
2011-03-08;149.581991
2011-03-09;160.608972
2011-03-10;146.066371
2011-03-11;146.008561
2011-03-12;130.337687
2011-03-13;106.351537
2011-03-14;145.043289
2011-03-15;150.651307
2011-03-16;143.901524
2011-03-17;125.062291
2011-03-18;185.117401
2011-03-19;142.122789
2011-03-20;110.515622
2011-03-21;144.601774
2011-03-22;146.723334
2011-03-23;143.885547
2011-03-24;144.167288
2011-03-25;164.233727
2011-03-26;137.355098
2011-03-27;133.512256
2011-03-28;135.536914
2011-03-29;144.658054
2011-03-30;144.786005
2011-03-31;139.672754
2011-04-01;132.260512
2011-04-02;135.678788
2011-04-03;125.676938
2011-04-04;137.71242
2011-04-05;137.413105
2011-04-06;130.50177
2011-04-07;161.508994
2011-04-08;133.976382
2011-04-09;130.84536
2011-04-10;98.872632
2011-04-11;132.327164
2011-04-12;128.116758
2011-04-13;129.113439
2011-04-14;147.442854
2011-04-15;149.067157
2011-04-16;137.984046
2011-04-17;120.422083
2011-04-18;136.469118
2011-04-19;135.164993
2011-04-20;181.416487
2011-04-21;133.855564
2011-04-22;125.543204
2011-04-23;109.999595
2011-04-24;141.908021
2011-04-25;84.593698
2011-04-26;180.100131
2011-04-27;147.732557
2011-04-28;143.441067
2011-04-29;137.045875
2011-04-30;150.385018
2011-05-01;113.250972
2011-05-02;137.600705
2011-05-03;159.025496
2011-05-04;151.291743
2011-05-05;151.356972
2011-05-06;148.562612
2011-05-07;142.80831
2011-05-08;129.468713
2011-05-09;144.282367
2011-05-10;148.611331
2011-05-11;152.869334
2011-05-12;154.280429
2011-05-13;147.441024
2011-05-14;147.093802
2011-05-15;128.251769
2011-05-16;148.264422
2011-05-17;148.473
2011-05-18;147.471914
2011-05-19;162.741539
2011-05-20;161.630628
2011-05-21;138.709409
2011-05-22;133.688072
2011-05-23;165.706596
2011-05-24;152.676431
2011-05-25;153.900506
2011-05-26;158.932136
2011-05-27;159.270003
2011-05-28;156.87668
2011-05-29;137.97628
2011-05-30;149.06829
2011-05-31;151.803758
2011-06-01;145.940434
2011-06-02;117.770971
2011-06-03;152.180595
2011-06-04;139.507621
2011-06-05;134.203631
2011-06-06;138.745816
2011-06-07;141.213046
2011-06-08;136.585988
2011-06-09;139.936056
2011-06-10;137.161184
2011-06-11;123.273922
2011-06-12;117.327236
2011-06-13;145.682926
2011-06-14;132.517491
2011-06-15;153.611166
2011-06-16;148.257782
2011-06-17;140.752706
2011-06-18;136.985112
2011-06-19;114.683286
2011-06-20;135.026319
2011-06-21;138.988219
2011-06-22;158.219856
2011-06-23;165.683872
2011-06-24;146.101778
2011-06-25;125.591203
2011-06-26;107.637583
2011-06-27;150.541006
2011-06-28;167.832843
2011-06-29;163.153288
2011-06-30;164.919385
2011-07-01;167.706791
2011-07-02;147.609843
2011-07-03;120.819308
2011-07-04;163.279228
2011-07-05;159.055927
2011-07-06;155.911659
2011-07-07;162.710119
2011-07-08;159.689901
2011-07-09;132.024632
2011-07-10;124.586075
2011-07-11;169.124069
2011-07-12;174.099241
